model,data_version,nhead,d_model,num_layers,dropout,criterion,lr,train_loss,test_loss,n_params,MAE,MSE,RMSE,R-squared
0,base,2,64,2,0,l1_loss,0.1,0.027264779433608055,0.2644592821598053,563013,0.26045662,0.09973334,0.31580585,-1.590236783027649
1,base,2,64,4,0,l1_loss,0.1,0.03223579004406929,0.3090705871582031,1125317,0.3004312,0.12803301,0.35781702,-2.324923038482666
2,base,4,64,2,0,l1_loss,0.1,0.028959428891539574,0.25263792276382446,563013,0.25019187,0.09208152,0.30344936,-1.3913190364837646
3,base,4,64,4,0,l1_loss,0.1,0.03319152817130089,0.31182271242141724,1125317,0.30313066,0.1297135,0.3601576,-2.368813991546631
4,base,2,64,2,0,mse_loss,0.1,0.15043601393699646,0.9366005659103394,563013,0.9430954,0.9263873,0.96249014,-23.05847930908203
5,base,2,64,4,0,mse_loss,0.1,0.24304816126823425,1.3819470405578613,1125317,1.1519912,1.3655894,1.1685843,-34.46992874145508
6,base,4,64,2,0,mse_loss,0.1,0.014227302744984627,0.16537652909755707,563013,0.36513212,0.16365498,0.40454292,-3.251681089401245
7,base,4,64,4,0,mse_loss,0.1,0.2430577576160431,1.3815433979034424,1125317,1.151818,1.3651886,1.1684128,-34.459495544433594
8,feat_engg,2,64,2,0,l1_loss,0.1,0.02103768102824688,0.3538249731063843,563653,0.3473248,0.1615003,0.401871,-3.290590286254883
9,feat_engg,2,64,4,0,l1_loss,0.1,0.027402561157941818,0.2957531213760376,1125957,0.2924248,0.11839344,0.3440835,-2.1458725929260254
10,feat_engg,4,64,2,0,l1_loss,0.1,0.023292910307645798,0.3433493971824646,563653,0.33781958,0.15068719,0.3881845,-3.0035853385925293
11,feat_engg,4,64,4,0,l1_loss,0.1,0.028579257428646088,0.33097440004348755,1125957,0.32477507,0.143273,0.3785142,-2.806025266647339
12,feat_engg,2,64,2,0,mse_loss,0.1,0.0016242401907220483,0.11675573140382767,563653,0.28898197,0.11618507,0.34085932,-2.0871589183807373
13,feat_engg,2,64,4,0,mse_loss,0.1,0.2424965500831604,1.3164489269256592,1125957,1.1237677,1.3003736,1.1403393,-33.54543685913086
14,feat_engg,4,64,2,0,mse_loss,0.1,0.0017234071856364608,0.10274848341941833,563653,0.2660948,0.103041746,0.32100117,-1.7379179000854492
15,feat_engg,4,64,4,0,mse_loss,0.1,0.24219948053359985,1.315026044845581,1125957,1.1231682,1.2990053,1.1397392,-33.50937271118164
