model,data_version,n_feat,conv_out_size,kernel_size,hidden_size,n_LSTM,dropout,criterion,init_lr,final_lr,train_loss,test_loss,n_params,MAE,MSE,RMSE,R-squared
0,feat_engg,15,30,10,64,2,0.0,mse_loss,0.1,0.025,0.00073,0.72569,62771,0.49773,0.29376,0.542,-6.80461
1,feat_engg,15,30,5,64,2,0.0,mse_loss,0.1,0.025,0.00087,0.0808,60521,0.50449,0.2941,0.54231,-6.81261
2,feat_engg,15,30,10,32,2,0.0,mse_loss,0.1,0.00625,0.0012,0.51727,21395,0.44795,0.27439,0.52382,-6.28846
3,feat_engg,15,30,5,32,2,0.0,mse_loss,0.1,0.00625,0.00161,0.27197,19145,0.43094,0.22028,0.46933,-4.85148
4,feat_engg,15,30,10,64,2,0.05,mse_loss,0.1,1e-05,0.0019,0.77826,62771,0.4934,0.28625,0.53503,-6.60492
5,feat_engg,15,30,10,32,2,0.05,mse_loss,0.1,1e-05,0.00247,0.2487,21395,0.45799,0.27709,0.5264,-6.36032
6,feat_engg,15,30,5,64,2,0.05,mse_loss,0.1,1e-05,0.00265,0.06383,60521,0.51573,0.29772,0.54564,-6.90825
7,feat_engg,15,30,5,32,2,0.05,mse_loss,0.1,1e-05,0.00423,0.18761,19145,0.49069,0.27379,0.52325,-6.27268
8,base,5,10,5,32,2,0.0,mse_loss,0.1,0.0125,0.00635,0.33268,14525,0.35699,0.18065,0.42503,-3.69188
9,base,5,10,5,32,2,0.05,mse_loss,0.1,1e-05,0.00918,0.43605,14525,0.41096,0.21917,0.46816,-4.69258
10,feat_engg,15,30,10,32,2,0.0,l1_loss,0.1,0.00313,0.01894,0.5728,21395,0.49028,0.28038,0.52951,-6.44822
11,feat_engg,15,30,5,32,2,0.0,l1_loss,0.1,0.00156,0.02287,0.29954,19145,0.47771,0.25657,0.50653,-5.81534
12,feat_engg,15,30,10,32,2,0.05,l1_loss,0.1,1e-05,0.02938,0.52801,21395,0.49334,0.30013,0.54784,-6.97167
13,feat_engg,15,30,5,32,2,0.05,l1_loss,0.1,1e-05,0.04485,0.45661,19145,0.52169,0.30554,0.55276,-7.11593
14,base,5,10,10,32,2,0.0,mse_loss,0.1,0.00625,0.06315,0.1692,14775,0.67176,0.50519,0.71077,-12.12028
15,base,5,10,5,64,2,0.0,mse_loss,0.1,1e-05,0.23766,1.06298,53341,1.13966,1.33652,1.15608,-33.71431
16,base,5,10,5,64,2,0.05,mse_loss,0.1,1e-05,0.23767,1.0638,53341,1.13994,1.33716,1.15636,-33.73103
17,base,5,10,10,64,2,0.0,mse_loss,0.1,1e-05,0.23957,1.1621,53591,1.1447,1.34813,1.16109,-34.01694
18,base,5,10,10,64,2,0.05,mse_loss,0.1,1e-05,0.23964,1.16199,53591,1.14479,1.34834,1.16118,-34.02258
19,base,5,10,10,32,2,0.05,mse_loss,0.1,1e-05,0.24172,1.38807,14775,1.15699,1.37714,1.17352,-34.76929
20,feat_engg,15,30,10,64,2,0.0,l1_loss,0.1,0.00039,0.37894,1.1977,62771,1.28394,1.69136,1.30052,-43.93186
21,feat_engg,15,30,10,64,2,0.05,l1_loss,0.1,1e-05,0.39482,1.22619,62771,1.27996,1.67946,1.29594,-43.61323
22,feat_engg,15,30,5,64,2,0.0,l1_loss,0.1,1e-05,0.40187,1.17097,60521,1.26561,1.63959,1.28046,-42.55704
23,feat_engg,15,30,5,64,2,0.05,l1_loss,0.1,1e-05,0.40195,1.17063,60521,1.26517,1.63862,1.28009,-42.53143
24,base,5,10,5,32,2,0.0,l1_loss,0.1,1e-05,0.41304,1.29417,14525,1.31626,1.77041,1.33057,-44.98507
25,base,5,10,5,32,2,0.05,l1_loss,0.1,1e-05,0.41307,1.29417,14525,1.31592,1.76951,1.33023,-44.96159
26,base,5,10,10,64,2,0.0,l1_loss,0.1,1e-05,0.41406,1.29832,53591,1.32181,1.7857,1.3363,-45.38212
27,base,5,10,10,64,2,0.05,l1_loss,0.1,1e-05,0.41411,1.29821,53591,1.32185,1.7858,1.33634,-45.38477
28,base,5,10,5,64,2,0.05,l1_loss,0.1,1e-05,0.4142,1.29236,53341,1.32155,1.78486,1.33599,-45.36045
29,base,5,10,5,64,2,0.0,l1_loss,0.1,1e-05,0.41421,1.29217,53341,1.32137,1.78439,1.33581,-45.34846
30,base,5,10,10,32,2,0.05,l1_loss,0.1,1e-05,0.41446,1.33155,14775,1.32229,1.78708,1.33682,-45.41584
31,base,5,10,10,32,2,0.0,l1_loss,0.1,1e-05,0.41447,1.33148,14775,1.32215,1.78669,1.33667,-45.40571
